query_number,results,status,time
0,0,OK,1673
1,0,OK,26
2,0,OK,92
3,0,OK,610
4,0,OK,182
5,0,OK,7
6,0,OK,6
7,0,OK,6
8,0,OK,7
9,0,OK,112
10,0,OK,31
11,0,OK,6
12,0,OK,6536
13,0,OK,46
14,0,OK,486
15,,TIMEOUT(Exception),62063
16,0,OK,101
17,0,OK,77
18,0,OK,86
19,0,OK,23
20,0,OK,6
21,0,OK,58
22,0,OK,272
23,0,OK,51
24,0,OK,114
25,0,OK,114
26,0,OK,588
27,0,OK,30
28,0,OK,7
29,0,OK,95
30,,TIMEOUT(Exception),62063
31,0,OK,658
32,0,OK,2836
33,0,OK,21
34,0,OK,326
35,0,OK,3346
36,0,OK,105
37,0,OK,3059
38,0,OK,298
39,0,OK,2113
40,0,OK,377
41,0,OK,392
42,0,OK,39
43,0,OK,1693
44,0,OK,8
45,0,OK,32
46,0,OK,306
47,0,OK,26
48,0,OK,7
49,0,OK,410
50,0,OK,32
51,0,OK,76
52,0,OK,34
53,0,OK,7
54,0,OK,96
55,0,OK,29
56,0,OK,547
57,,TIMEOUT(Exception),62063
58,0,OK,318
59,0,OK,869
60,0,OK,38
61,0,OK,32
62,0,OK,25
63,0,OK,652
64,0,OK,1538
65,0,OK,1142
66,0,OK,3231
67,0,OK,356
68,0,OK,7
69,0,OK,221
70,0,OK,636
1975,0,OK,1080
1976,0,OK,72
1977,0,OK,7968
1978,0,OK,308
1979,0,OK,354
1980,0,OK,60
1981,0,OK,28
1982,0,OK,15
1983,,TIMEOUT(Exception),62063
1984,0,OK,563
1985,0,OK,7
1986,0,OK,1402
1987,0,OK,10
1988,,TIMEOUT(Exception),62063
1989,0,OK,538
1990,0,OK,76
1991,0,OK,260
1992,0,OK,31
1993,0,OK,38
1994,0,OK,894
1995,0,OK,9
1996,0,OK,98
1997,0,OK,111
1998,0,OK,298
1999,0,OK,203
2000,0,OK,1511
2001,0,OK,489
2002,0,OK,1039
2003,,TIMEOUT(Exception),62063
2004,0,OK,172
2005,0,OK,254
2006,0,OK,54
2007,0,OK,194
2008,0,OK,426
2009,0,OK,2181
2010,0,OK,96
2011,0,OK,75
2012,0,OK,6
2013,0,OK,81
2014,0,OK,6
2015,0,OK,74
2016,0,OK,6
2017,0,OK,1355
2018,0,OK,8
2019,0,OK,59
2020,0,OK,20
2021,0,OK,412
2022,0,OK,228
2023,0,OK,27
2024,0,OK,2434
2025,0,OK,9
2026,0,OK,187
2027,0,OK,6
2028,0,OK,297
2029,,TIMEOUT(Exception),62063
2030,0,OK,522
2031,0,OK,3550
2032,0,OK,1776
2033,0,OK,47
2034,0,OK,1211
2035,0,OK,183
2036,0,OK,19
2037,0,OK,35
2038,0,OK,459
2039,0,OK,223
2040,0,OK,286
2041,0,OK,26
2042,0,OK,61
2043,0,OK,1653
2044,0,OK,116
2045,0,OK,350
2046,0,OK,433
2047,0,OK,9
2048,0,OK,854
2049,0,OK,725
2050,0,OK,261
2051,0,OK,213
2052,0,OK,174
2053,0,OK,2263
2054,0,OK,45
2055,0,OK,1618
2056,0,OK,9
2057,0,OK,198
2058,0,OK,279
2059,0,OK,119
2060,0,OK,7556
2061,0,OK,957
2062,0,OK,61
4020,0,OK,1669
4021,0,OK,334
4022,0,OK,24
4023,0,OK,182
4024,0,OK,728
4025,,TIMEOUT(Exception),62063
4026,0,OK,185
4027,0,OK,6705
4028,0,OK,28
4029,0,OK,1049
4030,0,OK,190
4031,0,OK,516
4032,0,OK,7
4033,0,OK,58
4034,0,OK,220
4035,0,OK,6
4036,0,OK,8
4037,0,OK,40
4038,,TIMEOUT(Exception),62063
4039,0,OK,210
4040,0,OK,160
4041,0,OK,7
4042,0,OK,845
4043,0,OK,1269
4044,0,OK,407
4045,0,OK,213
4046,0,OK,1986
4047,0,OK,27
4048,0,OK,38
4049,0,OK,1420
4050,0,OK,383
4051,0,OK,475
4052,0,OK,353
4053,0,OK,616
4054,,TIMEOUT(Exception),62063
4055,0,OK,25
4056,0,OK,197
4057,0,OK,36
5970,0,OK,1240
5971,0,OK,1325
5972,0,OK,189
5973,0,OK,86
5974,0,OK,89
5975,0,OK,158
5976,0,OK,331
5977,0,OK,7
5978,0,OK,767
5979,0,OK,99
5980,0,OK,362
5981,0,OK,7
5982,0,OK,1084
5983,0,OK,232
5984,0,OK,23
5985,,TIMEOUT(Exception),62063
5986,0,OK,73
5987,0,OK,638
5988,0,OK,1343
5989,0,OK,44
5990,0,OK,8
5991,0,OK,6
5992,0,OK,74
5993,0,OK,418
5994,0,OK,169
5995,0,OK,7
5996,0,OK,102
5997,0,OK,791
5998,0,OK,45
5999,0,OK,7
6000,0,OK,27
6001,0,OK,1191
6002,0,OK,40
6003,0,OK,574
6004,0,OK,77
6005,0,OK,8
6006,0,OK,410
6007,,TIMEOUT(Exception),62063
6008,0,OK,107
6009,0,OK,1761
6010,0,OK,8
6011,0,OK,7
6012,0,OK,230
6013,0,OK,6
6014,,TIMEOUT(Exception),62063
6015,0,OK,195
6016,0,OK,61
6017,0,OK,592
6018,0,OK,223
6019,0,OK,187
6020,0,OK,265
6021,0,OK,2232
6022,0,OK,11
6023,0,OK,66
6024,0,OK,2224
6025,0,OK,3189
6026,0,OK,314
6027,0,OK,7
6028,0,OK,49
6029,0,OK,129
6030,0,OK,246
6031,0,OK,65
6032,0,OK,2558
6033,0,OK,70
6034,0,OK,120
6035,0,OK,556
6036,0,OK,195
6037,0,OK,79
6038,0,OK,8
6039,0,OK,219
6040,0,OK,1193
6041,0,OK,215
6042,0,OK,27
6043,0,OK,3122
6044,0,OK,352
6045,0,OK,19
6046,0,OK,49
6047,0,OK,83
6048,0,OK,227
7985,0,OK,1304
7986,0,OK,1114
7987,0,OK,8
7988,0,OK,1096
7989,0,OK,8
7990,,TIMEOUT(Exception),62063
7991,0,OK,97
7992,0,OK,25
7993,0,OK,114
7994,0,OK,216
7995,0,OK,83
7996,0,OK,29
7997,0,OK,6
7998,0,OK,6
7999,0,OK,358
8000,0,OK,1231
8001,0,OK,1603
8002,0,OK,1914
8003,0,OK,421
8004,,TIMEOUT(Exception),62063
8005,0,OK,291
8006,0,OK,73
8007,0,OK,346
